href,name,price,price_per_unit,size
https://www.compraonline.bonpreuesclat.cat/products/garofalo-pasta-pappardelle/52218,GAROFALO Pasta pappardelle,"2,95 €","(5,90 € per quilo)","0.5kg(5,90 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-pasta-aliment%C3%A0ria-per-a-fideu%C3%A0-km0/82221,BONPREU Pasta alimentària per a fideuà Km0,"0,49 €","(1,96 € per quilo)","0.25kg(1,96 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-fideus-n%C2%BA4/00130,GALLO Fideus Nº4,"1,39 €","(3,09 € per quilo)","0.45kg(3,09 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/el-pavo-pasta-per-lasanya/06271,EL PAVO Pasta per lasanya,"1,65 €","(8,25 € per quilo)","0.2kg(8,25 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-espaguetis-ecol%C3%B2gics/53554,BONPREU Espaguetis ecològics,"1,35 €","(2,70 € per quilo)","0.5kg(2,70 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-galets-n%C2%BA0/26379,GALLO Galets Nº0,"1,39 €","(3,09 € per quilo)","0.45kg(3,09 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/barilla-tallarines-n%C2%BA13-bavette/42985,BARILLA Tallarines Nº13 Bavette,"1,69 €","(3,38 € per quilo)","0.5kg(3,38 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/berruto-pasta-penne-rigate/56428,BERRUTO Pasta Penne Rigate,"1,39 €","(2,78 € per quilo)","0.5kg(2,78 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/de-cecco-pasta-linguine-n%C2%BA7/47772,DE CECCO Pasta Linguine Nº7,"2,39 €","(4,78 € per quilo)","0.5kg(4,78 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-fideus-per-fideu%C3%A0/76133,GALLO Fideus per fideuà,"1,39 €","(3,09 € per quilo)","0.45kg(3,09 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-nature-espirals-de-pasta-de-colors/38014,GALLO NATURE Espirals de pasta de colors,"2,07 €","(5,18 € per quilo)","0.4kg(5,18 € per quilo)"
